/*
 * Three active Sboxes with positions (0, x, y) at round 0
 * and minimum number of active Sboxes at round 2
 */

x   y   Min.
1	2	16
1	3	19
1	4	20
1	5	16
1	6	14
1	7	17
1	8	19
1	9	18
1	10	17
1	11	16
1	12	18
1	13	17
1	14	18
1	15	20
1	16	19
1	17	20
1	18	20
1	19	18
1	20	17
1	21	21
1	22	19
1	23	19
1	24	21
1	25	20
1	26	19
1	27	20
1	28	20
1	29	16
1	30	21
1	31	18
1	32	20
1	33	20
1	34	20
1	35	21
1	36	19
1	37	22
1	38	17
1	39	19
1	40	21
1	41	20
1	42	17
1	43	18
1	44	19
1	45	19
1	46	20
1	47	17
1	48	19
1	49	17
1	50	20
1	51	18
1	52	17
1	53	16
1	54	16
1	55	17
1	56	20
1	57	19
1	58	18
1	59	17
1	60	15
1	61	20
1	62	18
1	63	16
2	3	18
2	4	19
2	5	18
2	6	18
2	7	18
2	8	20
2	9	20
2	10	18
2	11	15
2	12	18
2	13	21
2	14	21
2	15	21
2	16	21
2	17	22
2	18	20
2	19	21
2	20	22
2	21	19
2	22	16
2	23	19
2	24	21
2	25	16
2	26	22
2	27	21
2	28	20
2	29	22
2	30	19
2	31	22
2	32	17
2	33	22
2	34	21
2	35	19
2	36	20
2	37	22
2	38	19
2	39	20
2	40	23
2	41	21
2	42	20
2	43	19
2	44	17
2	45	17
2	46	20
2	47	18
2	48	18
2	49	20
2	50	22
2	51	21
2	52	20
2	53	19
2	54	15
2	55	19
2	56	17
2	57	17
2	58	19
2	59	18
2	60	18
2	61	18
2	62	19
2	63	19
3	4	20
3	5	18
3	6	16
3	7	16
3	8	21
3	9	19
3	10	16
3	11	17
3	12	20
3	13	18
3	14	20
3	15	20
3	16	18
3	17	16
3	18	18
3	19	17
3	20	19
3	21	19
3	22	18
3	23	19
3	24	19
3	25	17
3	26	19
3	27	20
3	28	17
3	29	22
3	30	20
3	31	17
3	32	19
3	33	20
3	34	18
3	35	19
3	36	19
3	37	20
3	38	20
3	39	17
3	40	16
3	41	18
3	42	13
3	43	20
3	44	17
3	45	16
3	46	19
3	47	18
3	48	20
3	49	21
3	50	20
3	51	20
3	52	19
3	53	17
3	54	16
3	55	19
3	56	20
3	57	17
3	58	20
3	59	20
3	60	19
3	61	16
3	62	18
3	63	20
4	5	15
4	6	18
4	7	19
4	8	23
4	9	21
4	10	17
4	11	17
4	12	21
4	13	18
4	14	18
4	15	23
4	16	20
4	17	19
4	18	23
4	19	22
4	20	22
4	21	21
4	22	16
4	23	18
4	24	22
4	25	21
4	26	19
4	27	22
4	28	20
4	29	21
4	30	22
4	31	23
4	32	20
4	33	23
4	34	16
4	35	23
4	36	20
4	37	22
4	38	22
4	39	21
4	40	21
4	41	20
4	42	20
4	43	21
4	44	22
4	45	17
4	46	16
4	47	19
4	48	22
4	49	21
4	50	21
